country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Ghana,"Seidu A.S., Alhassan A.R., Bo-ib Buunaaim A.D.",24-Jul,Epidemiology of Polytrauma at a Teaching Hospital in Northern Ghana: A Cross-Sectional Study,Other: retrospective cross-sectional study,11/2020 - 10/2022,medical records (archived electronic medical records from the emergency department),Accident and Emergency Department of Tamale Teaching Hospital (tertiary hospital in Northern Ghana),"""It is the tertiary hospital in Northern Ghana serving the health needs of about 7 out of 16 regions, thus, about 6 million people in Ghana.""",840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""Archived electronic medical records from the emergency department within the study period were examined, and the participants were identifed.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186 polytrauma cases,NA,NA,NA,NA,NA
Malawi,"Schade A.T., Sabawo M., Nyamulani N., et al.",23-Oct,"Functional outcomes and quality of life at 1-year follow-up after an open tibia fracture in Malawi: a multicentre, prospective cohort study","Other: prospective, multicentre cohort study",02/2021 - 03/2022,primary data collection (clinical and socio-demographic questionnaire; follow-up reviews ),"two tertiary hospitals (Queen Elizabeth Central Hospital and Kamuzu Central Hospital); and four district hospitals (Dedza District Hospital, Ntcheu District Hospital, Balaka District Hospital, and Machinga District Hospital).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,“45 (22%) debridements in tertiary hospitals and 57 (93%) in district hospitals were performed by orthopaedic clinical officers or trainees.”,NA,NA,287 enrolled across the six study sites,NA,NA,NA,NA,NA
Senegal,"Sankale A.A., Ndiaye A., Ndoye A., et al.",11-Mar,[Paediatric head and neck burns sequelae],Other: retrospective case series,05/2001 - 04/2008,medical records (patient files),"Pediatric Surgery Department, Aristide Le Dantec Hospital, Dakar, Senegal",NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,medical records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27 patients,NA,NA,NA,NA,NA
Senegal,"Sankale A.A., Ndiaye A., Baillet A., et al.",12-May,[Management of nasolabial clefts: the issue in Dakar],Other: retrospective descriptive case series,01/2004 - 03/2009,unspecified (medical records),pediatric surgery department at Aristide Le Dantec de Dakar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205 cases of nasolabial clefts,NA,NA,NA,NA,NA
Malawi,"Samuel J.C., Campbell E.L.P., Mjuweni S., et al.",11-Mar,"The epidemiology, management, outcomes and areas for improvement of burn care in central Malawi: an observational study",Other: A retrospective  cross-sectional analysis,07/2008 - 06/2009,"KCH trauma registry, operative records, inpatient charts","Kamuzu Central Hospital (KCH), Lilongwe, Malawi",Central Malawi (~5 million people),1000 beds (hospital-wide),NA,NA,NA,NA,NA,NA,NA,NA,Yes,“KCH trauma registry used to identify burn cases”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370 burn patients,NA,NA,NA,NA,NA
South Sudan,"Salehi M., Zivkovic I., Mayronne S., et al.",23-Apr,Update on the evaluation of a surgical task-sharing program in South Sudan,"Other: Single-center, prospective observational mixed-method cohort study",07/2019 – 02/2021,"Hospital registry, trainee logbooks, online learning platform, surveys, interviews","Aweil State Hospital (ASH), South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Hospital registry and trainee logbooks used for data collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 trainees; 385 surgeries performed,NA,NA,NA,NA,NA
Global (including: central sub-Saharan Africa; eastern sub-Saharan Africa; southern sub-Saharan Africa; western sub-Saharan Africa),"Rose J., Weiser T.G., Hider P., et al.",15-Apr,Estimated need for surgery worldwide based on prevalence of diseases: a modelling strategy for the WHO Global Health Estimate,Other: cross-sectional ecological modeling study,2010,prevalence data from the GBD study from the  Institute for Health Metrics and Evaluation (IHME),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321505362 (total procedures),NA,NA,NA,NA,NA
Ethiopia,"Rodgers W., Lloyd T., Mizen K., et al.",15-Nov,Microvascular reconstruction of facial defects in settings where resources are limited,Other: retrospective case series,2008 - 2014,medical records,Yung Sung Christian Medical Centre; Cure Hospital; Yekatit 12 Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29 patients who underwent 34 microsurgical procedures,NA,NA,NA,NA,NA
Ghana,"Rockson A.A., Benjamin-Damons N., Pilusa S.I.",24-Jul,"Prevalence and characteristics of paediatric burns at the National Reconstructive Plastic Surgery and Burns Centre, Korle Bu Teaching Hospital, Ghana",Other: retrospective cohort study,01/2020 - 12/2022,medical records of paediatric burn cases,"National Reconstructive Plastic Surgery and Burns Centre (NRPS & BC) at Korle Bu Teaching Hospital in the Greater Accra Region, Ghana",NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Medical records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335 pediatric records,"""The period prevalence of paediatric burn injuries calculated for 2020 to 2022 at the NRPS & BC of the KBTH was estimated to be 50.6 %.""",NA,NA,NA,NA
Madagascar,"White M.C., Barki B.J., Lerma S.A., et al.",18-Aug,Prospective evaluation of anaesthesia adverse events occurring during a surgical mission in Madagascar and the relation to postoperative complications,Other: prospective observational cohort study (registry‑based surveillance),10/2014 - 05/2016,medical records (records of operating room adverse events),"Africa Mercy hospital ship docked in Toamasina, Madagascar","Not specified (""Mercy Ships visits a coastal sub-Saharan Africa country... providing surgical, outpatient, and rehabilitation services to the population.”)","PACU = 4 beds;
ward = 84 beds;
ICU = 2 beds",4,NA,Yes,Yes,NA,NA,NA,NA,Yes,“Mercy Ships contemporaneously records generic postoperative complications using standard definitions.”,Yes,"“...recorded in the hospital database, which also includes patient demographics, surgical, and anesthesia details.”",65,“Patients were managed by a total of 97 different anesthesia providers and 65 different surgeons from 21 different countries.”,97,“Patients were managed by a total of 97 different anesthesia providers...”,unspecified number of PACU nurses,"“Postoperative nursing care including PACU, specialized wound care, and outpatient and rehabilitation services are provided by qualified registered nurses.”",anesthesia assistant,“Every operating room also has a dedicated anesthesia assistant (usually a nurse or operating department practitioner)...”,foreign,"“Mercy Ships uses staff, infrastructure, and equipment similar to that of HICs.”",2037 surgical episodes (206 plastic surgery),NA,NA,NA,NA,NA
Tanzania,"Ringo Y., Chilonga K.",13-Oct,"Burns at KCMC: epidemiology, presentation, management and treatment outcome",Cross sectional study,10/2011 - 04/2012,primary data collection,Kilimanjaro Christian Medical Centre (tertiary referral hospital),NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA
"Africa (Data were collected from 19 African countries: Tanzania, Nigeria, Sudan, Ethiopia, Cameroon, Kenya, Congo, Uganda, South Africa, Egypt, Algeria, Benin, Botswana, Burkina Faso, Eritrea, Libya, Mali, Morocco, and Senegal)","Rigato M., Pizzol D., Tiago A., et al.",18-May,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",Systematic review,Studies published  up to May 2017,"Data sources included databases such as PubMed, ISI Web of Science, Scopus, www.clinicaltrials.gov, and the Cochrane Central Register of Controlled Trials, as well as hand searching of citations. Studies published in English and French up to May 2017 were included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pooled population of 56,173 diabetic patients:
- 10,894 having foot ulcers",NA,NA,NA,NA,NA
Ethiopia,"Rickart A.J., Rodgers W., Mizen K., et al.",20-May,Facing Africa: Describing Noma in Ethiopia,Other: retrospective case series,05/2015 - 05/2019,patient pro forma questionnaire,across Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 patients,NA,NA,NA,NA,NA
Rwanda,"Rickard J.L., Ntakiyiruta G., Chu K.M.",15-Nov,Associations with Perioperative Mortality Rate at a Major Referral Hospital in Rwanda,Other: retrospective review of data collection,10/2012 - 09/2013,Secondary data collection (data collected from electronic database as part of larger study evaluating the operative activity of surgical residents),University Teaching Hospital of Kigali (CHUK) (Referral hospital that treats a wide range of elective and emergent surgical conditions in addition to serving as a training site for surgical residents),NA,NA,Not specified,NA,yes,NA,NA,NA,NA,NA,NA,NA,Yes,Operative database maintained by surgical residents and in ward logbooks maintained by nurses.,889; 1875,"Primary surgeons:
- Faculty = 889 (32%) 
- Resident = 1875 (68%)",NA,NA,NA,NA,NA,NA,NA,NA,2780 procedures,NA,NA,NA,NA,NA
Rwanda,"Rickard J.L., Ntakiyiruta G., Chu K.M.",15-Jul,Identifying gaps in the surgical training curriculum in Rwanda through evaluation of operative activity at a teaching hospital,Other: retrospective cross sectional study,10/2012 - 09/2013,Operative database maintained by surgical residents,"""University Teaching Hospital of Kigali (Centre Hospitalier Universitaire de Kigali [CHUK]), a public, tertiary referral (national referral) hospital in Kigali, Rwanda.""",NA,main hospital = 565 beds,"main operating theatres = 6;
other O.R.s available (unspecified number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Electronic operative database at CHUK,"trained surgeons nationwide = 50;

consultant surgeons in CHUK = 12 total (5 general; 5 orthopedic; 2 urologists;

visiting surgeons at CHUK = unspecified total (pediatric surgery; thoracic surgery; trauma; orthopedics; 2 neurosurgeons)","""There are approximately 50 fully trained surgeons (0.49 total surgeons per 100 000 population compared with 44.6 per 100 000 in the United States)."";
""In the 2012-2013 academic year, there were 12 full-time consultant surgeons in the surgical training program: 5 general surgeons, 5 orthopedic surgeons, and 2 urologists. In addition, there were surgeons for 2 to 3 months in pediatric surgery, thoracic surgery, trauma, and orthopedics and 2 neurosurgeons for 3 to 6 months.""",NA,NA,NA,NA,physicians nationwide = 625,"""Rwanda has approximately 625 physicians, most of whom are general practitioners.""",Rwanda; CHUK; unspecified affiliation of visiting surgeons,NA,2780 cases,NA,NA,NA,NA,NA
Kenya,"Rhodes I.J., Mwangi M.W., Romeo D.J., et al.",24-Jan,Management of Human Bites in a Rural Kenyan Setting: A Plastic Surgeon's 8-Year Experience,Other: retrospective chart review,2013 - 2021,medical records (surgical case logbook; patient charts),Kapsowar Hospital (a nongovernment district-level hospital),"""Kapsowar Hospital is a 140-bed nongovernment district-level hospital in the highlands of western Kenya that serves as the rural catchment for approximately 300,000 people in the predominantly agrarian Elgeyo-Marakawet county.""",main hospital = 140 beds,NA,NA,yes,NA,NA,limited,NA,NA,NA,NA,yes,paper charting system,plastic surgery team = unspecified number,"""Second, the full-time presence of our plastic surgery team allows us greater creativity and flexibility in performing complex or staged procedures that might produce a better result for patients desiring superior function or cosmoses."";",unspecified number,"""Third, our institution benefits from excellent anesthesia available and provides no limitations to our surgical management capabilities.""",NA,NA,NA,NA,NA,NA,44 patients,NA,NA,NA,NA,NA
Ethiopia,"Ready F.L, Gebremedhem Y.D., Worku M., et al.",18-Apr,Epidemiologic shifts for burn injury in Ethiopia from 2001 to 2016: Implications for public health measures,Cross sectional study,01/2016 - 12/2016,medical records (admission due to burn injury),"Burn Unit in Yekatit 12 Hospital (Addis Ababa, Ethiopia)","""...the vast majority of patients came from the city and the
surrounding Oromia region.""",NA,NA,Yes,NA,No,No,NA,NA,NA,NA,NA,Yes,"""During the 2016 study period, 176 independent admissions for
burn injury were identified. Given the less-developed medical record systemand documentationpractices of a LMIC,missing data fields were frequently encountered""; 

""...Yekatit 12 Hospital only maintains physical charts for 10 years.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176 patients (independent admissions for burn injury),NA,NA,NA,NA,NA
Malawi,"Qureshi J.S., Young S., Muyco A.P., et al.",12-Aug,Addressing Malawi's surgical workforce crisis: a sustainable paradigm for training and collaboration in Africa,Other: Descriptive analysis,2007 - 2010,primary experience,Kamuzu Central Hospital (KCH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010: 3 general surgery,NA,NA,NA,NA,NA,2009: 3 residents; 2010: 2 orthopedic residents,NA,NA,NA,"13,421 general surgeries (from 2007 to 2010)",NA,NA,NA,"""KCH surgery residency is estimated to cost $US75,000 for the 5 years of training.""",NA
Ghana,"Quansah R., Abantanga F., Donkor P.",8-Aug,Trauma training for nonorthopaedic doctors in low- and middle-income countries,"Other: prospective, single‐arm, before‐and‐after (pre-test/post-test) evaluation",unspecified,primary data collection (questionnaire),Rural district hospitals in Ghana,"""The network of hospitals includes district hospitals, which have up to 200 beds, are usually manned by general practitioners (GPs), and serve rural areas up to 100,000 persons. There are 10 regions and each has a regional hospital with up to 500 beds, which may have one or two specialists, including a general surgeon, and serving up to 2 million people. ""","district hospitals = up to 200 beds each;
regional hospitals = up to 500 beds each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600 doctors in the country total,"""There are about 1600 doctors in the country (or one doctor for every 12,500 persons); approximately 70% of doctors work in the 2 major cities, leaving less than 30% to provide services for the rural areas.""",NA,NA,200 doctors; 120 nurses,NA,NA,NA,NA,NA
Malawi,"Purcell L.N., Yohann A., Banda W., et al.",20-May,Sex dimorphism in pediatric burn mortality in Malawi: A propensity matched analysis,Other: Retrospective cohort analysis with propensity score matching,05/2011 - 12/2019,Kamuzu Central Hospital Burn Registry (prospectively collected),"Kamuzu Central Hospital Burns Unit, Lilongwe, Malawi","""KCH serves the 7.5 million people living in central Malawi.”",900 hospital beds; 31 burn unit beds,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,“We performed a retrospective review of the prospectively collected Kamuzu Central Hospital (KCH) Burn Registry from May 2011 to December 2019.”,1 consultant,"“The 31-bed mixed adult and pediatric KCH burn unit was started in 2011 and is staffed by a consultant plastics or general surgeon, two burn clinical officers, and burn-trained nursing staff.”",NA,NA,NA,NA,2 burn clinical officers,“...two burn clinical officers...”,NA,NA,1904 pediatric patients,NA,NA,NA,NA,NA
Malawi,"Purcell L.N., Sincavage J., Banda W., et al.",2021,The effect of burn mechanism on pediatric mortality in Malawi: A propensity weighted analysis,Other: Retrospective analysis of prospectively collected registry data,05/2011 – 08/2019,KCH Burn Surveillance Registry,"Kamuzu Central Hospital (KCH), Lilongwe, Malawi",Central Malawi (catchment area ~6 million people),"KCH Hospital,900 beds; 
KCH burn unit, 31 beds",NA,Yes,NA,NA,NA,NA,NA,NA,Yes,“Kamuzu Central Hospital Burn Surveillance Registry”,NA,NA,1 consultant plastic or general surgeon,“Care provided by a consultant surgeon during study period”,NA,NA,unspecified number,“Burn-trained nurses staffed the unit”,2 burn clinical officers,“Two specialized burn clinical officers provided care”,NA,NA,"1,794 pediatric patients (488 flame burns, 1,280 scald burns)",NA,NA,NA,NA,NA
Malawi,"Purcell L.N., Banda W., Williams B., et al.",20-Mar,The Effect of Surgical Intervention on Pediatric Burn Injury Survival in a Resource-Poor Setting,Other: Other: retrospective cohort study,05/2011 - 07/2019,Kamuzu Central Hospital Burn Database,Public Hospital (Kamuzu Central Hospital),"""Kamuzu Central Hospital (KCH), a 900-bed tertiary hospital located in Lilongwe, Malawi. It serves the capital city and the 6 million persons who live in central Malawi.""",900,NA,Yes,NA,NA,Limited,NA,NA,NA,NA,NA,yes,"""A retrospective review of prospectively collected data was performed utilizing the Kamuzu Central Hospital (KCH) Burn Registry from May 2011 until July 2019. All patients who are admitted to the KCH burn unit are included in the registry.""",1,"Staffed by a consultant Malawian plastic surgeon, two specialized Malawian burn clinical officers, and a burn-trained nursing staff.""",NA,NA,1,"""Staffed by a consultant Malawian plastic surgeon, two specialized Malawian burn clinical officers, and a burn-trained nursing staff.""",2,"Staffed by a consultant Malawian plastic surgeon, two specialized Malawian burn clinical officers, and a burn-trained nursing staff.""",NA,NA,1785,NA,NA,NA,NA,NA
Malawi,"Purcell L.N., Banda W., Akinkuotu A., et al.
",21-Jul,Characteristics and predictors of mortality in-hospital mortality following burn injury in infants in a resource-limited setting,Other: Retrospective study,06/2011 - 12/2019,Burn Injury Surveillance database,"Kamuzu Central Hospital (KCH) (tertiary hospital within Malawi's central region, Lilongwe)",7.5 million persons,900,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,"""We performed a retrospective study of the prospectively collected Kamuzu Central Hospital (KCH) Burn Injury Surveillance database from June 2011 to December 2019.""",Yes,"""The KCH Burns registry was developed and initiated in 2011. It utilizes a one-page, double-sided data collection form containing an expanded ‘minimal data set’ for admitted burn patients.""

""Data are collected on paper burn intake and outcome forms and stored on a REDCap database.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115 patients,NA,NA,NA,NA,NA
Kenya; Canada,"Poenaru D., Pemberton J., Cameron B.H.",15-Feb,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Cohort study,11/2011 - 10/2012,records of operations for 13 congenital health states in a Kenyan and a Canadian hospital,"""BethanyKids at Kijabe Hospital (BKKH)...a pediatric surgical unit located in a secondary and tertiary general hospital 65 kilometers outside of Nairobi, Kenya.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208 surgical procedures,NA,NA,"*cumulative DALYs from temporal delay by procedure:
cleft lip repair = ~25 DALYs;
cleft palate repair = ~15 DALYs

*cumulative DALYs from temporal delay by specialty:
plastics = ~45 DALYs

*mean delayed DALYs incurred for each surgical procedure by procedure type: 
cleft lip repair = ~0.5 DALYs;
cleft palate repair = ~1.5 DALYs

*mean delayed DALYs incurred for each surgical procedure by specialty:
plastics = ~0.7 DALYs
",NA,NA
Kenya,Poenaru D.,2016,"The burden of pediatric surgical disease in low-resource settings: Discovering it, measuring it, and addressing it",Other: Narrative review and personal account with supporting data,NA,"DALY calculations, disability weights, cost-effectiveness studies, institutional data","BethanyKids at Kijabe Hospital (Kenya), Dadaab Refugee Camp, Somaliland, and other LMICs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 trained through BKKH,"“...trained 6 pediatric surgeons, all of whom are now practicing in their home countries...”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean DALYS Averted
Anolpasty 0.2;
cleft lip repair 0.6;
cleft palate repair 1.5;
hypospodias repair 1;
orchidopexy 1.4
PSARP 2.6",NA,NA
"Africa
Americas
Eastern Europe
Middle East
SEA
West Pacific",Poenaru D.,2013,Getting the job done: analysis of the impact and effectiveness of the SmileTrain program in alleviating the global burden of cleft disease,Economic evaluation,2003 - 2010,"medical records, surgical registries, and program reports","community hospitals, government hospitals, and specialized cleft care centers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""The study analyzed medical records from hospitals participating in the SmileTrain program. Patient data included age at surgery, type of cleft condition, and post-surgical recovery outcomes.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"364,467 patients",NA,NA,"""The study estimates that between 2.1 and 4.7 million DALYs were averted through SmileTrain-sponsored cleft surgeries.""",NA,NA
Zimbabwe,"Pham A.M., Tollefson T.T.",7-Nov,"Cleft deformities in Zimbabwe, Africa: socioeconomic factors, epidemiology, and surgical reconstruction",Other: retrospective case review,6-Oct,"Screening cards, notebook containing physician notes from birth (portable ""medical record"")",Harare Central Hospital (HCH); US surgical team affiliated with organization Operation of Hope,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""The anesthesia team consisted of several members, including the attending anesthesiologists, residents of different training levels, nurse anesthetists, and students.""",NA,NA,NA,NA,NA,NA,39 patients,NA,NA,NA,NA,NA
Mali,"Pfister G., Aries P., de Lesquen H., et al.",23-Jul,"Extremity injuries in the Sahelian conflict: lessons learned from a French Forward Surgical Team deployed in Gao, Mali",Other: retrospective database review,01/2013 - 08/2022,data collection,level 2 Medical Treatment Facility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""Data were collected from  the French surgical database OpEX (French Military Health 
Service)""",1 (general surgeon); 1 (orthopaedic surgeon),"""...one general surgeon, one orthopaedic surgeon...""",1,"""This was started in January 2013 with one anaesthesiologist–intensivist...""",2 (anaesthetist nurses); 1 (scrub nurse); 5 (registered nurses); 5 (auxiliary nurses),"""...two anaesthetist nurses, one scrub nurse, three registered nurses and three auxiliary nurses...""

""... two registered nurses and two auxiliary nurses.""",1 (psychiatrist); 1 (emergency physician); 1 (laboratory technician); 1 (dentist),"""...an enhanced health care staff of one psychiatrist, one emergency physician, one laboratory technician, one dentist...""",all healthcare providers reported here,The Gao Forward Surgical Team,418 patients (out of 1298 patients operated on),NA,NA,NA,NA,NA
Rwanda,"Petroze R.T., Calland J.F., Niyonkuru F., et al.",14-Jan,Estimating pediatric surgical need in developing countries: a household survey in Rwanda,"Other: cross-sectional, cluster-based population survey",11-Oct,primary data collection,Clusters at the imidugudu (village level) in Rwanda's households,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1623 individuals,NA,NA,NA,NA,NA
Tanzania,"Penoyar T., Cohen H., Kibatala P., et al.",11-Dec,Emergency and surgery services of primary hospitals in the United Republic of Tanzania,Cross sectional study,03/2009 - 10/2010,primary data collection (survey using the WHO Integrated Management for Emergency and Essential Surgical Care (IMEESC) Situational Analysis research tool ),first-referral health facilities in Tanzania,"""The average population served per facility was 425 000, though five facilities served 10 000 or fewer residents.""","9035 total beds;
mean = 189 bed per facility;
range = 15 - 30 beds",118,NA,yes (some),NA,yes (some),yes,yes (some),yes,NA,NA,NA,NA,64 surgical specialists (not specified),"""Sixty-four surgical specialists (ie, physicians with dedicated surgical training) were identified, and 56 (88%) of identified surgical specialists were employed by the six largest hospitals. ""","formally trained anaesthesiologist = 11;
non-physician anaesthesia providers = 176
","""The great majority of anaesthesia providers (176/203 = 87%) were non physicians, and only 11 formally trained anaesthesiologists were identified.""",NA,NA,"non-physician medical officers, paramedics and midwives = 4017","""Other medical staff providing surgical and anaesthesia services in the facilities included 4017 assistant medical officers (non-physician
medical officers, paramedics and midwives).""",NA,NA,48 health facilities representing 16 of 26 regions in Tanzania,NA,NA,NA,NA,NA
Sub-Saharan Africa,"Ozgediz D.,Riviello R.",8-Jun,"The ""other"" neglected diseases in global public health: surgical conditions in sub-Saharan Africa",Text and opinion,NA,Existing data and literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,"Otieno T., Woodfield J.C., Bird P., et al.",4-Mar,Trauma in rural Kenya,Other: prospective observational case series (audit),09/2001 - 03/2002,primary data collection (questionnaire),rural mission hospital (Kijabe Hospital),NA,NA,4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,"general surgeons = 3;
orthopaedic surgeon = 1","""There are three general surgeons and an orthopaedic surgeon on the staff, as well as four family practitioners, an anaesthetist and a medical officer training in orthopaedics.""",anesthetist = 1,"""There are three general surgeons and an orthopaedic surgeon on the staff, as well as four family practitioners, an anaesthetist and a medical officer training in orthopaedics.""",NA,NA,"family practitioners = 4;
medical officer (training in orthopaedics) = 1","""There are three general surgeons and an orthopaedic surgeon on the staff, as well as four family practitioners, an anaesthetist and a medical officer training in orthopaedics.""",local,NA,202 patients,NA,NA,NA,"""Costs were available on 170 patients. For these 170 patients there were 1831 hospital days, at an average hospital charge per day of 2807 KSh (approximately US$ 37) and a mean cost per patient of 22482 KSh (US$ 300).""",NA
Sudan,"Osman M.A.K., Aljezoli M.H.I., Alsadig M.A.M., et al.",21-Mar,"Referral pattern of oral and maxillofacial surgery cases in Sudan: A retrospective age- And sex-specific analysis of 3,478 patients over four years",Other: Retrospective study,01/2011 - 12/2014,Patient records,"Khartoum Teaching Dental Hospital (KTDH), Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,478 patients",NA,NA,NA,NA,NA
Nigeria,"Opara K.O., Jiburum B.C.",10-Aug,Skin cancers in albinos in a teaching Hospital in eastern Nigeria - presentation and challenges of care,Other: Retrospective case review,06/2007 – 05/2009,Hospital records from June 2007 to May 2009,"Imo State University Teaching Hospital (Plastic Surgery Division), Orlu, Eastern Nigeria (tertiary health institution)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 patients with 38 lesions,NA,NA,NA,NA,NA
Nigeria,"Opara K.O., Chukwuanukwu T.O.G, Ogbonnaya I.S., et al.",6-Dec,Pattern of severe electrical injuries in a Nigerian regional burn centre,Other: Retrospective descriptive study,01/1995 - 12/2004,case files,National Orthopaedic Hospital Enugu,"""...catchments population of over twenty million mostly rural dwellers.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,""" A 10-year retrospective study of case files of patients seen with electrical injuries in our centre was carried out from January 1995 to December 2004. Case notes were retrieved and data collated from them were analysed by descriptive statistics. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 cases,NA,NA,NA,NA,NA
Nigeria,"Onyemaechi N.O.C., Urube S.U., Ekenze S.O.",19-Mar,Pattern of surgical emergencies in a Nigerian tertiary hospital,Other: Prospective cohort study,01/2011 - 12/2011,Patient records and structured questionnaires,"Federal Medical Centre, Makurdi, Benue State, Nigeria (tertiary referral hospital)",“...serves a population of over five million people.”,350,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""... data were collected from patients’ medical records.”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575 surgical emergency patients,NA,NA,NA,NA,NA
Nigeria,"Onah I.I., Opara K.O., Olaitan P.B., et al.",7-Jun,Cleft lip and palate repair: the experience from two West African sub-regional centres,Other: Retrospective study,01/1993 - 12/1999; 09/2004 - 06/2006,"Hospital records, case notes","National Orthopaedic Hospital, Enugu; Ladoke Akintola University Teaching hospital, Osogbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,5,"""Five consultant plastic surgeons are actively involved in cleft care.""",NA,NA,NA,NA,NA,NA,NA,NA,93 patients,NA,NA,NA,NA,NA
