title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,health_system_barrier,health_system_description,financial_barrier,financial_description,geograhic_accessibility_barrier,geograhic_accessibility_description,sociocultural_barrier,sociocultural_description,patient_related_barrier,patient_related_description,policy_governance_barrier,policy_governance_description,education_training_barrier,education_training_description,other_barrier,other_description_100
Burn care in Africa: reducing the misery index: the 1993 Everett Idris Evans Memorial Lecture,Sowemimo G.O.A,Nov-93,NA,burns,domestic burns; industrial burns,"""There is an urgent need to improve and enhance activities of burn prevention, care, rehabilitation, and research throughout African countries.""",Infrastructure limitations,"""Lack of exclusive operating theatres and anesthesia limit available operating time and usually cuase delay in burn excision and grafting.""
""Theres a long waiting list of burn survivors who require reconstructive surgery, but inadequate operating time and facilities are the cuase of much delay.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pattern and factors affecting management outcome of neonatal emergency surgery in Ile-Ife, Nigeria","Sowande O.A., Ogundoyin O.O., Adejuyigbe O.",6-Jul,To determine the pattern and various factors that can affect the outcome of emergency surgical management of neonates in a developing country.,congenital malformations,NA,"Mortality rate: 53.6%. Significant factors affecting outcome: low admission weight, long duration of operation, type of operation, upper GI obstruction. Sepsis was the most common complication.

""The morbidity and mortality following emergency surgical management of the neonate is still very high in this environment. Lower admission weight, long duration of operation, type of operation performed and presence of upper gastrointestinal obstruction are significantly associated with increased neonatal surgical mortality in our hospital.""",infrastructure limitations,"""However, the lack of neonatal intensive care facilities with ventilatory and nutritional support for their pre- and postoperative management contribute significantly to the mortality rate in these patients.""",NA,NA,physical distance,"""The mortality was less among patients seen from within a 50 km radius of our hospital. We think this may be due to easy access and the possibility of awareness of the facilities for care of these infants in our hospital. For those neonates coming from farther areas, the stress of having to travel for long distances over bad roads with no attendant ambulance services increases the likelihood of physiological derangement, as most of them were often hypothermic with severe fluid and electrolyte disturbances and sepsis, which added to the metabolic stress on arrival.""",NA,NA,late presentation,"""These patients are also more likely to present late at the hospital for treatment. Statistically, however, the distance from the hospital did not influence the outcome.""",NA,NA,NA,NA,NA,NA
Waiting Too Long: The Contribution of Delayed Surgical Access to Pediatric Disease Burden in Somaliland,"Smith E.R., Concepcion T.L., Shrime M., et al.",19-Oct,"""Our goal was to quantify the burden of disease related to delays to surgical care for children with congenital surgical conditions in Somaliland.""",congenital malformations,"cleft lip, cleft palate, club foot","2362 DALYs attributable to delays in care; average 8.4 delayed DALYs per child; highest burden in anorectal malformations and hypospadias; 

""Among the 280 children, 139 travelled less than 2 h, 61 2.1 to 6 h, 19 children 6.1 to 10 h, and 61 children more than 10 h.""; 

""A total of 2362.2 DALYs were associated with delayed presentation to surgical care. Avertable DALYs associated with delayed presentation to surgical care ranged from less than 290 for urologic and orthopedic conditions to over 700 for neurosurgical conditions.""",Workforce limitations,"“Provision of high-quality surgical care… requires adequately trained workforce, supplies, and other resources.”",Direct and indirect costs,"""The inability to receive surgical care depends on many barriers, including patient, institutional, and structural factors. At a patient level, the delay in receiving surgical care often occurs because of financial restrictions or travel barriers if a health facility is too far away. In addition, families with a child with a surgical need are more likely to become impoverished and remain in poverty
due to the expenses around the procedure and other non-medical cost."";
“Families with a child with a surgical need are more likely to become impoverished and remain in poverty due to the expenses around the procedure and other nonmedical costs.”",Travel distance,“Over half of the families seeking surgical care had to travel over 2 h to a surgically equipped hospital in the capital city of Hargeisa.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congenital Anomalies in Low- and Middle-Income Countries: The Unborn Child of Global Surgery,"Sitkin N.A., Ozgediz D., Donkor P., et al.",14-Aug,"""This review article will summarize the growing body of knowledge on surgical congenital anomalies in LMICs and will highlight key research recommendations.""",congenital anomalies,"cleft lip, cleft palate","""While data from LMICs are sparse, available evidence suggests that the true human and financial cost of congenital anomalies is grossly underestimated and that pediatric surgery is a cost-effective intervention with the potential to avert significant premature mortality and lifelong disability.""",Human resource shortage; Human resource shortage,"""One pediatric general surgeon may serve millions of children""

"" Delays in referring patients from local health centers to medical centers with specialized surgical capacity,""",direct medical costs,"""financial burden of treatment on families, """,physical distance,"""If families do seek care, they must often travel great distances to reach medical facilities.""",stigma and cultural beliefs,"""In LMICs, many births occur at home, either with no attendants or with traditional birth attendants; pejorative cultural beliefs or ignorance about possible cures for defects may prevent families from seeking treatment""",NA,NA,NA,NA,surgeon training gaps,"""physicians performing pediatric surgery may have little or no pediatric surgery training. While North America has an estimated one pediatric cardiac surgeon per 3 million people, sub-Saharan Africa has one per 38 million people [41]; 75 % of the world’s population is estimated to have no access to cardiac surgery""",Misdiagnosis,"""Misdiagnosis as better known infectious diseases is common, as are added delays in diagnosis for non-visible anomalies"""
Hand injuries in low- and middle-income countries: systematic review of existing literature and call for greater attention,"Siotos C., Ibrahim Z., Bai J., et al.",18-May,"""We conducted a systematic review to evaluate the burden of hand injuries in LMICs according to Preferred Reporting Items for Systematic Review and Meta-Analyses guidelines."";
""We conducted a systematic review to analyze the existing literature on the burden of hand injuries in LMICs to guide proper allocation of resources and preventive strategies.""
","trauma, burns",hand injuries,"""The present systematic review highlights the paucity of high-quality data on the epidemiology, management, and burden of hand injuries in LMICs. The data are"";

""Hand injuries in LMICs pose a significant financial burden and are associated with functional limitations and decreased quality of life. It is necessary to estimate the burden of hand injuries in LMICs, identify risk factors, and evaluate cost-effective solutions. We, therefore, call for greater attention and investments in research, prevention, and treatment of hand injuries in LMICs.""",workforce and emergency systems,LMICs often lack the workforce and emergency medical systems for the management of hand injuries.,direct and indirect cost,Direct and indirect costs related to treatment account for a major healthcare burden.,distance,"Many injured patients, who would otherwise need surgical intervention, never gain access to the healthcare system in LMICs altogether.",NA,NA,delay in treatment,Delay in treatment from time of injury to delivery of care potentially adds to the total disability caused by these injuries.,lack of incentives,Absence of a worker's compensation system in LMICs may lead to delay and neglect in healthcare provision for occupational hand injuries.,lack of training,Lack of trained researchers in LMICs may explain the lack of comprehensive population-based studies,NA,NA
Prevalence of Cleft Lip and Palate in the Developing Countries of Asia and Africa: A Review,"Shrestha A., Hoang H., Gardner S., et al.",23-Jan,"""The objective of this paper is to review the literature on the incidence of cleft lip and palate (CLP) in the developing countries of Asia and Africa.""",congenital malformations,cleft lip; cleft palate; cleft lip and palate,"""The incidence of CLP in Asian countries is markedly greater than in African countries. Most studies report a male predominance in CLPs and a female predominance in cleft palates.""; 
""The review underlines the need for an aggressive approach to prevent and control CLP in patients in developing countries.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reconstructive Surgery in Times of Conflict,"Sherif R.D., Massenburg B.B., Weissler E.H., et al.",16-Sep,"""The purpose of the present study is to analyze how local violence and conflict have impacted the ability of surgeons partnered with Smile Train to provide care in Nigeria""",congenital malformations,"Orofacial clefts (cleft lip, cleft palate, cleft lip and palate)","Spikes in violence (especially from Boko Haram) were followed by drops in cleft surgery volume; conflict disrupted surgical care delivery;

""It is clear that violence in Nigeria has had dramatic negative effects on the ability of Smile Train partner surgeons to participate in the
surgical care of patients with orofacial clefts. As the strength of terrorist groups in Nigeria increases and violence in the country has
shown no sign of abating, it is imperative that the medical community understands the impact on the civilians of this and other similarly affected countries. It is hoped is that the information presented in this article will spark conversation within the international political and medical communities on how the essential healthcare needs of civilians in such regions can be met.""","Infrastructure limitations, referral system issues","""Nigeria has the unfortunate combination of extreme poverty, poor healthcare infrastructure,
and a lack of access to the healthcare that does exist""",NA,NA,"Physical distance, transportation issues","""The vast majority of people benefiting from the services of Smile Train partner surgeons live in poverty, often having to travel long distances in poor conditions to reach any kind of healthcare facility""","Stigma, infanticide",“Clefts seen as demonic possession; children shunned or killed”,percieved need for surgery,"""When the primary concern is basic survival, healthcare concerns no longer take a front seat in peoples’ lives""",NA,NA,Funding gaps,"""Another factor she noted is that Nigeria’s healthcare system has been fraught with corruption and funding
issues, so doctors and other staff at public hospitals have regularly
been on extended periods of strike, which have also affected the delivery of cleft care.""",political instability,"""The delivery of services by Smile Train physicians was affected despite Smile Train’s attempt to continue providing resources. The participating surgeons have not been immune to the conflict and have suffered clear setbacks due to the violence. As the level of violence rapidly increased in the past few years, there is a noticeable slight downward trend in the
frequency of cleft surgery, suggesting that as sectarian violence in the region fervently escalates, it becomes ever harder to provide healthcare.  During the data collection for this study, the director confirmed that their efforts are constantly hindered by the regional
terrorism and violence"""
Pediatric trauma at a government referral hospital in The Gambia,"Shen C., Sanno-Duanda B., Bickler S.W.",3-Oct,"""To determine the pattern of childhood injuries at a government referral hospital in sub-Saharan Africa.""","trauma, burns","fractures, injuries, burns, soft tissue injuries","""Childhood injuries, particularly burns place a significant burden on inpatient services. While accounting for a small fraction of pediatric admissions, injuries account for long hospital stays and surgical procedures.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geospatial relationship of road traffic crashes and healthcare facilities with trauma surgical capabilities in Nairobi, Kenya: defining gaps in coverage","Shaw B.I., Wangara A.A., Wambua G.M., et al.",17-Nov,"""In the present study, we sought to understand the distribution of road traffic crashes (RTCs) in Nairobi and the relative distance and travel times for potential victims of RTCs to health facilities with trauma surgical capabilities. Specifically, we sought to evaluate the current ‘base case’ of all RTC victims seeking care at KNH to alternatives where RTC victims may be treated at alternative hospitals located around Nairobi.""",Trauma,road traffic injuries,"“Overall, there were 986 RTCs reported in Nairobi County through the Ma3route app from May to October 2015.”

“Almost all hospitals surveyed in the present study have the ability to care for trauma patients.”

“The average travel time and distance from RTCs to the nearest health facilities surveyed were 7 min and 3.4 km, respectively. This increased to 18 min and 9.6 km if all RTC victims were transported to Kenyatta National Hospital (KNH).”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flexor digitorum accessorius longus muscle in resistant clubfoot patients: introduction of a new sign predicting its presence,"Shaheen S., Mursal H., Rabih M., et al.",15-Apr,"""The aim of this study is to document the prevalence (occurrence) of the FDAL and accessory soleus muscles in patients treated surgically at Sudan Clubfoot Clinic at Soba University Hospital and Khartoum Cheshire Home.""",congenital malformations,Congenital talipes equino varus,"""FDAL is prevalent in 13% of resistant TEV cases requiring extensive soft tissue release, and the surgeon can expect resistant clubfoot and predict the presence of the FDAL in over 95% before he operates by observing the Samir–Adam sign.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidemiology of Polytrauma at a Teaching Hospital in Northern Ghana: A Cross-Sectional Study,"Seidu A.S., Alhassan A.R., Bo-ib Buunaaim A.D.",24-Jul,"""This study aimed to evaluate the epidemiological profle of polytrauma and outline the distribution of extremity fractures among cases in Northern Ghana.""",trauma,"polytrauma, open fracture","""The total number of polytrauma cases was 186; hence, the prevalence of polytrauma over the period was 3.4%."";

""The mortality of polytrauma over the study period was 33.0%."";

""The length of stay of participants ranged from 2 to 47 days with a mean length of stay being 23.2 days."";

""The prevalence and mortality for polytrauma in Northern Ghana were remarkably high. Road trafc accidents (RTA) were the most common cause of polytrauma in Northern Ghana."";

""We recommend a concerted multidisciplinary policy framework geared towards promoting road safety and reducing accidents in Ghana. We also recommend a tailored robust treatment algorithm for managing traumatic brain injury in our settings to reduce mortality thereof.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Functional outcomes and quality of life at 1-year follow-up after an open tibia fracture in Malawi: a multicentre, prospective cohort study","Schade A.T., Sabawo M., Nyamulani N., et al.",23-Oct,"""We aimed to investigate the function and quality of life of participants with open tibia fractures at 1 year post-injury and to assess the impact of fracture severity and orthopaedic treatment modality on function, quality of life, and fracture-related infection.""",Trauma,open tibia fractures,"""...adults with an open tibia fracture had very poor musculoskeletal function and quality of life at 1 year post-injury. Our findings show that outcomes could be improved by centralising care to tertiary hospitals, reducing time to definitive fixation, and by use of intramedullary nails for more severe injuries""

“In tertiary hospitals, 144 (72%) debridements were documented to have an orthopaedic surgeon involved; however, in district hospitals, 57 (93%) had an orthopaedic clinical officer documented as being involved.”

“Overall, 268 (93%) participants had debridement; of the 63 participants who were debrided in district hospitals, 47 (75%) had the procedure under local or no anaesthesia.”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,district vs. tertiary hospital (lack of specialized personnel; etc.),"""We found that there was scarce surgical capacity in district hospitals for these injuries, and that participants had substantially improved outcomes if they received definitive early fixation with intramedullary nailing in tertiary hospitals."""
[Paediatric head and neck burns sequelae],"Sankale A.A., Ndiaye A., Ndoye A., et al.",11-Mar,"""The aim of this work is to consider the special features of cervicofacial burns sequelae in children in a sub-Saharan environment and to review their management.""; 

""The aim of our work is to report the data epidemiological studies of this pathology but also to evaluate the management of these after-effects in a sub-Saharan pediatric surgery department.""",burns,cervicofacial burns sequelae,"Adhesions (33.3%) were the most common sequelae, followed by keloid/hypertrophic scars (25.9%), eyelid ectropions (18.5%), alopecia (11.1%), chronic ulcerations (7.4%), and discoloration (3.7%). Surgery was performed in 55.6% of cases with 20% morbidity and no mortality.;

""Cervico-cephalic burns accounted for less than 10% of burn after-effects in children in our series."";

""Apart from the emergency situation, cervicofacial burns in children lead to severe aesthetic and functional damage. Any improvement in prognosis in such burns depends on improvements in the quality of initial care and on raising parents’ awareness of accidents in the home.""",consultation delays,“Average consultation delay of three months.”,NA,NA,NA,NA,NA,NA,NA,NA,lack of specialized centers,“Need to create a reference center for burn victims.”,NA,NA,NA,NA
[Management of nasolabial clefts: the issue in Dakar],"Sankale A.A., Ndiaye A., Baillet A., et al.",12-May,"""The goal of our work is to conduct a first epidemiological, clinical and therapeutic assessment of the management of cleft lips by a local team and to evidence the difficulties faced by us in our working conditions.""",congenital malformations,nasolabial clefts (cleft lip; cleft palate),""" ...over a period of approximately five years (January 2004 to March 2009), 205 cases of nasolabial clefts were collected.""

“We noted 92 cases of simple cleft lip, i.e 44.9% of cases and 55.1% of lip and alveolar clefts. Of 205 clefts, 98 cases or 47.8% were associated with a cleft palate. The location of the cleft lips on the left was predominantly in more than half of the cases.”

“In 44.9% of cases, it was a simple cleft lip. The association with a cleft palate was found in 47.8% of cases.”

""Of the 117 cases of operated clefts (seven patients with bilateral clefts underwent plasty on the contralateral side), we identified 13 cases of total suture release (i.e. 11.1% of those operated on). In addition, we found 13 cases of partial detachment of the operative suture (i.e. 11.1% of those operated on), six of which healed well subsequently, the other seven cases having a small intranasal defect.""",NA,NA,indirect costs; direct costs,"""This late first consultation (17 months) reflects th population's difficulties in accessing a specialist structure for many reasons: geographical distance, insufficient financial resources, lack of information.""",physical distance,"""This late first consultation (17 months) reflects th population's difficulties in accessing a specialist structure for many reasons: geographical distance, insufficient financial resources, lack of information.""",NA,NA,health literacy,"""This late first consultation (17 months) reflects th population's difficulties in accessing a specialist structure for many reasons: geographical distance, insufficient financial resources, lack of information.""",NA,NA,NA,NA,NA,NA
"The epidemiology, management, outcomes and areas for improvement of burn care in central Malawi: an observational study","Samuel J.C., Campbell E.L.P., Mjuweni S., et al.",11-Mar,"""The aims of this study were to describe the
epidemiology and burden of burn injuries, to
quantify treatment and outcome measures,
including physiotherapy, wound infection
and mortality levels, and to determine strategies for improving burn care in a sustainable and quantifiable way in this resource-constrained setting.""",burns,scalds; flames,"Burns disproportionately affected children; scalds were most common; in-hospital mortality was 27%; 59% of patients received inappropriate or missed key interventions (IV fluids, nutrition, physiotherapy)

""The mean total burn surface area as a percentage of total body surface area for second- and third-degree burns was 14.1% (median 10%, range 1 – 76%), and the commonest body location burned was the trunk.""; 

""Most (74%) burns were presented within 8 h of injury."";

""A total of 19 burns-related operations were identified. The commonest procedures were amputation (26%, 5/19) and contracture release (26%, 5/19), followed by skin grafting (16%, 3/19), tracheostomy (11%, 2/19) and debridement (11%, 2/19) followed by amputation (11%, 2/19). A total of 2601 general surgery procedures were performed at KCH during the study period.""",Resource limitations,"“Lack of supplies, operative resources, and dedicated burn unit”",direct costs; indirect costs,“Burn care is a financial burden on hospitals and families”,NA,NA,NA,NA,NA,NA,NA,NA,Inadequate provider training,"“Improved training needed for appropriate use of IV fluids, nutrition, and physiotherapy”",Incomplete records,“Incomplete data limited outcome analysis and quality improvement”
Update on the evaluation of a surgical task-sharing program in South Sudan,"Salehi M., Zivkovic I., Mayronne S., et al.",23-Apr,"""The goal of this study was to evaluate the effectiveness of the training program in the
surgical proficiency of trainees (quiz, entrustable professional activity [EPA], and logbook data), measure patient outcomes (complications, re-operation, and mortality), as well as the trainees’ and trainers’ feedback on the program""","trauma, burns","Burns, fractures, abscesses, laparotomies",79% of EPAs showed independence; 31% of surgeries at ASH were performed by trainees; surgical mortality and morbidity remained stable,Infrastructure limitations; Resource shortages,"""There were situations in which trainees felt disempowered. They all explained experiencing a lack of confidence in the cases they had not practiced more often due to hospital infrastructure limitations and a limited list of permitted surgeries for physicians in hospital protocol.""

""All trainers believed that the lack of resources at the hospital disempowered trainees to perform surgeries they were trained to perform.""

""Furthermore, the heavy load of patients and the need for coverage of the non surgical wards during the training program made the training
experience stressful""

""Seventy-five percent of trainers (3/4) noted
that they agreed or strongly agreed that the patient referral for surgical conditions had
decreased, thanks to this training program""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estimated need for surgery worldwide based on prevalence of diseases: a modelling strategy for the WHO Global Health Estimate,"Rose J., Weiser T.G., Hider P., et al.",15-Apr,"""In this report, we use prevalence data for diseases and conditions described by the Global Burden of Disease, Injuries, and Risk Factors Study 2010 (GBD 2010) to estimate the minimum need for surgery in each of the GBD regions of the world.""",trauma; congenital malformations; skin diseases; neoplasms,injuries; breast cancer,"""These data fundamentally challenge the notion that surgical need can be met through vertical programming and reinforce the fact that a versatile surgical core should lie at the centre of health systems. These results show how the development of surgical  capacity might vary according to region."";
""Without considering these divergent needs, prioritisation frameworks for scaling up surgical capacity will inevitably fail to maximise population health.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvascular reconstruction of facial defects in settings where resources are limited,"Rodgers W., Lloyd T., Mizen K., et al.",15-Nov,"""This study sought to describe the authors’ experience of performing microvascular free tissue transfer for facial reconstruction in Ethiopia, a resource-limited setting, primarily in patients with noma.""",noma; burn; squamous cell carcinoma,NA,"""...Between 2008 and 2014, 34 microsurgical procedures were done over 11 missions with the charity Facing Africa, predominantly for the treatment of defects caused by noma (n = 32). The mean duration of operation was 442 minutes (range 200 – 720)""

""One patient had a postoperative haemorrhage that required a return to theatre, 2 flaps partially failed and 2 failed completely, one patient had an oronasal fistula and one an infection of the donor site that required a repeat graft. There were no anaesthesia-related complications. """,NA,NA,NA,NA,NA,NA,NA,NA,Aesthetic concerns,“Some patients did not wish to have forearm flaps because of aesthetic concerns.”,NA,NA,NA,NA,NA,NA
"Prevalence and characteristics of paediatric burns at the National Reconstructive Plastic Surgery and Burns Centre, Korle Bu Teaching Hospital, Ghana","Rockson A.A., Benjamin-Damons N., Pilusa S.I.",24-Jul,"""The aim of this study is to investigate prevalence of paediatric burns in Ghana by providing a detailed description of burn characteristics, encompassing types, depth, body parts affected, and outcomes utilizing data from Ghana’s premier burns center.""",burns,NA,"""The study highlights a concerning prevalence of paediatric burns in Ghana, particularly among children aged 0–5 years. Superficial partial thickness burns were the most prevalent, often affecting multiple body parts, with the lower limbs being the most frequently involved. Scald burns, especially from hot water, were identified as the primary cause, underscoring the need for targeted prevention strategies and educa­tional programs for caregivers on their domestic environment."";

""The major predictor of paediatric burn outcomes was TBSA score. Higher TBSA score was generally associated with lower chances of survival.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prospective evaluation of anaesthesia adverse events occurring during a surgical mission in Madagascar and the relation to postoperative complications,"White M.C., Barki B.J., Lerma S.A., et al.",18-Aug,To estimate the incidence of anesthesia-related and postoperative complications during a 2-year surgical mission in Madagascar using high-income country (HIC) standards.,"trauma, congenital malformations, burns","Obstetric fistula, head and neck tumors, cleft lip/palate, burns, orthopedic deformities","""...our results show an overall anesthesia-related adverse event rate of 2.0% and postoperative complication rate of 9.4% and included 1 death."";
""In common with other HIC studies, our most frequent intraoperative adverse event category was respiratory, accounting for 46% (16/35) of all intraoperative events, with an overall incidence of 0.8%."";

Anesthesia-related adverse events occurred in 2.0% of cases; postoperative complications in 9.4% of patients. Most common complications were return to OR and surgical site infections.;

""This study adds to the scarce literature on anesthesia outcomes after mission surgery in low- and middle-income countries. We join others in calling for an international NGO anesthesia and surgical outcome registry and for all surgical NGOs to adopt international standards for the safe practice of anesthesia.""",Lack of infrastructure and coordination,"“...even qualified practitioners are dealing with colleagues, equipment, and often a language they are unfamiliar with...”",NA,NA,Long travel distances,“...patients who have traveled a long distance in search of care.”,Language barriers,“...language difficulties are frequently encountered...”,NA,NA,NA,NA,NA,NA,NA,NA
"Burns at KCMC: epidemiology, presentation, management and treatment outcome","Ringo Y., Chilonga K.",13-Oct,"""This study aimed to review the epidemiology presentation
management and outcome of burn patients in this challenging environment. It is hoped that information gained from this will enable improvement of local burn protocols and establish a foundation for later interventional studies.""",Burns,"Flame burns 
Electrical burns
Scald burns 
Burns due to hot objects","""Children under five are the worst affected by burns. Most patients had second degree burn wounds. Inappropriate management of the burn wound started just after injury and continued even in hospital. Mortality and complication rates are high.""",NA,NA,Financial constraint,"""Financial constraints prevent many patients from seeking early medical care.""",NA,NA,NA,NA,late presentation,"""Many patients seek medical care late, worsening prognosis.""",NA,NA,Limited training,"""Many healthcare providers lack specialized training in burn care.""",NA,NA
"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis","Rigato M., Pizzol D., Tiago A., et al.",18-May,"""The study aimed to review clinical characteristics, prevalence, and outcomes of patients with diabetic foot ulcer in Africa.""",Ulcers,Diabetic foot ulcers,"""According to the data collected, the overall prevalence of foot ulcers was 13% and increased over time, especially since 2001. Approximately 15% of patients with foot lesions underwent major amputation and 14.2% died during hospitalization.""


""In conclusion, diabetic foot ulcers in Africa are debilitating and potentially life-threatening as they are in Western countries, a scenario probably worsened by the lack of appropriate diagnostic and therapeutic interventions.""

The diabetic foot disease in Africa is a growing problem and is burden by high rate of in-hospital mortality. Educational interventions and screening programs including evaluation of the vascular status may play a crucial role to counter diabetic foot disease in Africa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Facing Africa: Describing Noma in Ethiopia,"Rickart A.J., Rodgers W., Mizen K., et al.",20-May,"""We aimed at emphasizing the significant burden, both psychologically and physically of noma, demonstrating the disparity between recent decades of progress in the well-being of Ethiopians in general and the access to health care and mental health support for some of those most in need.""",facial deformities,noma,"""This study shows the need to introduce validated patient-reported outcome measures centering around quality of life, a move that we would encourage to be adopted by the governments, health partnerships, and NGOs, treating noma across Africa.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Associations with Perioperative Mortality Rate at a Major Referral Hospital in Rwanda,"Rickard J.L., Ntakiyiruta G., Chu K.M.",15-Nov,"""The objective of this study was to evaluate POMR at CHUK and its associated risk factors as a measure of the quality of surgical care in a resource-limited setting. The secondary objectives were to determine the timing and location of death to target hospital-based improvements.""","Burns, breast masses",NA,"""The POMR (perioperative mortality rate) at a large referral hospital in Rwanda is <10% demonstrating that surgery can save lives even in resource-limited settings. Emergency operations are associated with higher mortality, which could potentially be improved with faster identification and transfer from district hospitals. Nearly half of deaths occurred in the post-operative recovery room. Multidisciplinary audits of operative mortalities could help guide improvements in surgical care.""",Referral system issues; Health System Inefficiencies,"""Referral from outside 
 Kigali was associated with increased odds of death. Referrals from other provinces were potentially subjected to prolonged transport time, ambulance shortages, and delays in communication and diagnose.""

"" Like other LMICs hospitals, CHUK is not equipped to care for
many critically ill patients.""",NA,NA,NA,NA,NA,NA,Comorbidities,"""Most operations (64 %) were emergent with some patients presenting to the hospital in septic shock with organ failure""",NA,NA,NA,NA,NA,NA
Identifying gaps in the surgical training curriculum in Rwanda through evaluation of operative activity at a teaching hospital,"Rickard J.L., Ntakiyiruta G., Chu K.M.",15-Jul,"""To define the operations performed by surgical residents at a tertiary referral hospital in Rwanda to help guide development of the residency program.""",surgical needs and procedures in Rwanda,NA,"""This study demonstrates that currently, CHUK, the largest hospital in Rwanda, has a large volume of surgical cases with a good mix of general surgery, orthopedic surgery, urology, and neurosurgery. Most of the WHO emergency and essential procedures are performed, including fracture reduction, exploratory laparotomies, and wound debridements."";

""At CHUK, emergency procedures were performed primarily by surgical residents. Surgical faculty assisted in less than one-third of these cases"";

""In this study, residents were primary surgeons in only 44% of elective cases. Additional elective procedures are needed to broaden training, and a bigger effort to teach supervisors to be trainers is needed.""",human resource shortage,“Insufficient faculty to supervise all afterhours operations.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gaps in subspecialty exposure,"“Residents lack exposure to subspecialty procedures like laparoscopy, endoscopy, vascular surgery.”",NA,NA
Management of Human Bites in a Rural Kenyan Setting: A Plastic Surgeon's 8-Year Experience,"Rhodes I.J., Mwangi M.W., Romeo D.J., et al.",24-Jan,"""We share our 8-year experience at Kapsowar Hospital in Kenya with the presentation, management, and outcome of human bites.""",trauma,human bites,"""Thirty-one patients had facial bites and 13 patients had bites to other parts of the body."";

""Using Lackmann's classification for facial bite severity, IIIA bites (complete avulsion) were most common for both males (9) and females (7)."";

""We report a salvage rate of 85.7% for infected digits."";

""Compared with most other studies on human bites, our patient population presents with a higher rate of avulsive lip injuries, most commonly among women. Our postoperative infection rate is lower than many others reported in the literature. Satisfactory cosmetic outcome with low risk of infection can be achieved by following well-established principles of wound healing and tension-free closure.""",NA,NA,NA,NA,transportation issues,"""A second limitation of our study is that given the barriers of transportation to our rural location, few patients in our population are capable of returning to our clinic for scheduled follow-up appointments and, therefore, long-term morbidity cannot be ascertained.""",NA,NA,NA,NA,NA,NA,NA,NA,paper based charting system,"""A third limitation is our institution's reliance on a paper charting system, which does not allow for the recording of patients who received nonoperative treatment or for the standardized logging of some comorbidities, which may impact patient recovery, such as smoking history."""
Epidemiologic shifts for burn injury in Ethiopia from 2001 to 2016: Implications for public health measures,"Ready F.L, Gebremedhem Y.D., Worku M., et al.",18-Apr,"""Herein we sought to investigate whether any such evolution had occurred from 2001 to date so as to inform future burn prevention programs in Ethiopia.""",burns,NA,"""As Ethiopia has become more industrialized over the last 15 years, the
demographic pattern of burn injury has changed accordingly as electrical injuries have increased five-fold with males now constituting a majority of burn cases..""

""Interestingly, pediatric burn injuries tend to be equally distributed between males and females, while adult males tend to be at higher risk
for burn injury.""

""...females are at greater risk for burns due to unsafe cooking
stoves which can lead to ignition of traditional loose-fitting
Ethiopian clothing.""",infrastructure limitations,"""... the burn operating room at Yekatit 12 is shared with a busy plastic surgery service which is responsible for cleft palate surgery,flap coverage, and hand surgery, among others.""; 

""...we often wait to begin excision and grafting for large burns as no biological dressing is available for coverage if donor skin sites are not sufficient.""",NA,NA,transportation issues,"""There is little access to emergency transport from region to region in the country.""",NA,NA,NA,NA,NA,NA,NA,NA,Supplies (wound dressing); lack of trained expertise at donor skin sites,"""Donor sites are further limited by a lack of expertise as much of the skin harvest during the study period was done using a Humby knife, which is far more technically difficult than the dermatomes widely available in high-income countries. """
Addressing Malawi's surgical workforce crisis: a sustainable paradigm for training and collaboration in Africa,"Qureshi J.S., Young S., Muyco A.P., et al.",12-Aug,"""Herein we have analyzed the rationale for in-country training of Malawian surgeons and share our experience regarding the concomitant enhancement of the healthcare delivery infrastructure, not only at KCH, but also in Malawi as a whole.""",NA,NA,"""This collaborative, academic model of local surgery training is designed to limit brain drain by keeping future surgeons in their country of origin as they establish themselves professionally and personally, with ongoing collaboration with international colleagues""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
