title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,patient_related_barrier,patient_related_description
Management of Human Bites in a Rural Kenyan Setting: A Plastic Surgeon's 8-Year Experience,"Rhodes I.J., Mwangi M.W., Romeo D.J., et al.",24-Jan,"""We share our 8-year experience at Kapsowar Hospital in Kenya with the presentation, management, and outcome of human bites.""",trauma,human bites,"""Thirty-one patients had facial bites and 13 patients had bites to other parts of the body."";

""Using Lackmann's classification for facial bite severity, IIIA bites (complete avulsion) were most common for both males (9) and females (7)."";

""We report a salvage rate of 85.7% for infected digits."";

""Compared with most other studies on human bites, our patient population presents with a higher rate of avulsive lip injuries, most commonly among women. Our postoperative infection rate is lower than many others reported in the literature. Satisfactory cosmetic outcome with low risk of infection can be achieved by following well-established principles of wound healing and tension-free closure.""",NA,NA
Epidemiologic shifts for burn injury in Ethiopia from 2001 to 2016: Implications for public health measures,"Ready F.L, Gebremedhem Y.D., Worku M., et al.",18-Apr,"""Herein we sought to investigate whether any such evolution had occurred from 2001 to date so as to inform future burn prevention programs in Ethiopia.""",burns,NA,"""As Ethiopia has become more industrialized over the last 15 years, the
demographic pattern of burn injury has changed accordingly as electrical injuries have increased five-fold with males now constituting a majority of burn cases..""

""Interestingly, pediatric burn injuries tend to be equally distributed between males and females, while adult males tend to be at higher risk
for burn injury.""

""...females are at greater risk for burns due to unsafe cooking
stoves which can lead to ignition of traditional loose-fitting
Ethiopian clothing.""",NA,NA
Addressing Malawi's surgical workforce crisis: a sustainable paradigm for training and collaboration in Africa,"Qureshi J.S., Young S., Muyco A.P., et al.",12-Aug,"""Herein we have analyzed the rationale for in-country training of Malawian surgeons and share our experience regarding the concomitant enhancement of the healthcare delivery infrastructure, not only at KCH, but also in Malawi as a whole.""",NA,NA,"""This collaborative, academic model of local surgery training is designed to limit brain drain by keeping future surgeons in their country of origin as they establish themselves professionally and personally, with ongoing collaboration with international colleagues""",NA,NA
Trauma training for nonorthopaedic doctors in low- and middle-income countries,"Quansah R., Abantanga F., Donkor P.",8-Aug,"""We describe this training program, share the results of a questionnaire undertaken by our department, and suggest short term educational programs may improve the delivery of trauma care.""",trauma,NA,"""The trauma course specifically addresses the critical issues of trauma care in Ghana. It has improved the knowledge base of doctors, as well as their self-reported process of trauma care. Through the process we have learned lessons that could help in the efforts to improve trauma training and trauma care in other low income countries."";

""The course has improved the knowledge base of doctors as well as their self-reported process of trauma care. Approximately 200 doctors have taken this course, and we have applied for accreditation through both the medical and dental councils. The trauma course has been accredited (CME) for residents in General Surgery. More than 120 nurses have taken the course, and we are looking at developing a similar program specifically for nurses. In addition, a recertification process has started.""",NA,NA
Sex dimorphism in pediatric burn mortality in Malawi: A propensity matched analysis,"Purcell L.N., Yohann A., Banda W., et al.",20-May,"“We, therefore, sought to assess sex disparities in burn mortality in Malawi, a resource-limited country in southeast Africa, that has a high incidence of pediatric burns and resulting mortality.”",burn,"Scald burns (water, grease), flame burns",No statistically significant difference in mortality between sexes after controlling for confounders. Flame burns were more common in females and associated with higher mortality.,NA,NA
The effect of burn mechanism on pediatric mortality in Malawi: A propensity weighted analysis,"Purcell L.N., Sincavage J., Banda W., et al.",2021,"""The primary objective of this study was to
determine the effect of burn mechanism on in-hospital mortality in a pediatric population in central Malawi.""",burns,"Flame burns, scald burns","Flame burns had 2.53x greater odds of in-hospital mortality compared to scald burns after adjusting for 

""Flame burns confer higher mortality when compared to scalds in a pediatric burn cohort in a resource-poor setting in sub-Saharan Africa. The underlying mechanism may be related to increased burn depth and the resulting inflammatory, metabolic, and infectious sequelae."";

""...patients with a flame burn had almost three times increased odds of mortality in a propensity-weighted analysis after controlling for pertinent covariates.""",NA,NA
The Effect of Surgical Intervention on Pediatric Burn Injury Survival in a Resource-Poor Setting,"Purcell L.N., Banda W., Williams B., et al.",20-Mar,"""We, therefore, aimed to evaluate the effect of surgical intervention following acute burn injury in a pediatric cohort treated at a dedicated burn unit in Malawi. Specifically, we were interested in the magnitude of the effect of surgical intervention on burn injury survival.""",Burns,"Flame burns, Scald burns (water and grease), Contact burns, and  Electrical/Lightning burns","""The overall mortality in the cohort was 279 (15.9%), with a mortality of 35 (10.5%) and 244 (17.2%) from the surgical and nonsurgical cohorts, respectively (P < 0.001).""

""The primary mechanism of burn in the surgical cohort was flame (n = 202, 59.4%) versus scald (n = 896, 62.3%) in the no surgery cohort (P < 0.001)."" 

""Most governments and public health initiatives in sub-Saharan Africa have failed to invest in surgical infrastructure as a whole. There is a persistent emphasis from well-funded foreign aid initiatives on the prevention and treatment of malnutrition, obstetric disorders, and communicable diseases, such as HIV, malaria, and tuberculosis.""
",comorbidities,"""Preexisting malnutrition may be prohibitive to optimal wound healing."""
Characteristics and predictors of mortality in-hospital mortality following burn injury in infants in a resource-limited setting,"Purcell L.N., Banda W., Akinkuotu A., et al.
",21-Jul,"""We, therefore, sought to assess the characteristics and predictors of burn mortality in a resource-limited setting.""",burns,acute burns,"""We show that factors that increase infant burn mortality risk include percent total body surface area burn, flame burn mechanism, and lack of operative intervention. Increasing burn operative capability, particularly for infants and other children, is imperative.""

""This study shows that the mortality following infant burn is 12.2%. At baseline, the overall pediatric burn mortality in our settings is approximately 16%.""

""The main predictors of increased risk of burn mortality are burn size and burn mechanism, specifically flame burns and lack of operative intervention.""",NA,NA
The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,"Poenaru D., Pemberton J., Cameron B.H.",15-Feb,"""The objective of this study was to use a recently developed surgical DALY methodology to compare the delayed burden of surgical disease accrued through 13 congenital health states addressed by pediatric surgery in a high-income country (Canada) with a low-income country (Kenya).""",congenital malformations,cleft lip; cleft palate,"""Estimating BoD resulting from delayed surgery is feasible and reflects both late presentation and limited access to care. Further exploration of these factors can make delayed DALYs a useful measure of health care coverage and waitlist prioritization.""

“The burden of delayed access to surgical care is significant, with long wait times contributing to avoidable morbidity and disability.” 

“Particularly in Kenya, delays in surgery were statistically significantly higher for most procedures, with mean delays of over 3 years for cleft lip repair...""",NA,NA
"The burden of pediatric surgical disease in low-resource settings: Discovering it, measuring it, and addressing it",Poenaru D.,2016,"To describe the author’s journey in recognizing, measuring, and addressing the burden of pediatric surgical disease in low-resource settings","congenital anomalies, trauma, burns","cleft lip, cleft palate, burns",Pediatric surgical burden is high and under-addressed; DALYs and cost-effectiveness metrics show pediatric surgery is impactful and affordable,NA,NA
Getting the job done: analysis of the impact and effectiveness of the SmileTrain program in alleviating the global burden of cleft disease,Poenaru D.,2013,"""This study estimates the averted and delayed averted global burden of cleft disease and the cost-effectiveness of the work of SmileTrain using GBD methods.""",congenital malformations,cleft lip and cleft palate,"""Globally, 2.1–4.7 million DALYs were averted through the operations at a total estimated  cost of US$196 M. Mean DALYs per patient were 3.8–9.0, and mean cost per DALY was $72–$134. Total delayed GBD due to advanced age at surgery was 191,000–457,000 DALYs.""

""The unmet and delayed averted global burden of cleft disease remains significant in all regions.  Large geographic disparities reflect varied challenges regarding access to surgery. Cleft surgeries are cost-effective interventions to reduce GBD""",NA,NA
"Cleft deformities in Zimbabwe, Africa: socioeconomic factors, epidemiology, and surgical reconstruction","Pham A.M., Tollefson T.T.",7-Nov,"""The preoperative preparation, socioeconomic factors, and epidemiology are described herein. Surgical reconstruction and postoperative care will also be addressed, including the management of a unique subset of midfacial clefts.""",congenital malformations,"cleft lip, cleft palate","""In conclusion, a long-term relationship between Operation of Hope and the Zimbabweans will ensure that the gap between a lack of specialty care in cleft surgery and needs of these patients can be overcome. Future goals will include education and surgical training to empower the medical staff dedicated to staying in Zimbabwe despite the “brain drain.""",NA,NA
"Extremity injuries in the Sahelian conflict: lessons learned from a French Forward Surgical Team deployed in Gao, Mali","Pfister G., Aries P., de Lesquen H., et al.",23-Jul,"""The purpose of this study was to describe non-delayed extremity injuries that required surgical management by the French Forward Surgical Team (FST) deployed in Gao, Mali from 2013 to 2022.""","trauma, burns",Gunshot wound; Fragment wound; Landmine in jury; mprovised explosive device injury;  motor vehicle accident; Fall or accident at home; Work accident; Dog bite ; Sport injuries,"""CRIs were the most severe injuries and did not involve the upper and lower limbs separately. A sequential management was required with application of damage control orthopaedics followed by several procedures for reconstruction. NCRIs were predominant and mostly involved the hand among the French soldiers.""; 

""The management of local patients requires the execution of reconstructive surgery and therefore imposes the presence of adequate equipment.""",NA,NA
Estimating pediatric surgical need in developing countries: a household survey in Rwanda,"Petroze R.T., Calland J.F., Niyonkuru F., et al.",14-Jan,"""In order to influence the development of pediatric surgical training in Rwanda, this study examines the pediatric respondents of a cross-sectional national population survey to describe the prevalence and characteristics of the likely pediatric surgical need.""","surgical conditions (trauma, congenital malformations, burn)",NA,"""A total of 1626 households (3175 individuals) were sampled with a 99% response rate; 51.1% of all individuals surveyed were younger than age 18."";

""An estimated 50.5% of the total current surgical need occurs in children. Of all Rwandan children, 6.3% (95% CI 5.4%–7.4%), an estimated 341,164 individuals, were identified to have a potentially treatable surgical condition at the time of the interview."" 

""The geographic distribution of surgical conditions significantly differed between adults and children (p < 0.001).""",NA,NA
Emergency and surgery services of primary hospitals in the United Republic of Tanzania,"Penoyar T., Cohen H., Kibatala P., et al.",11-Dec,"""The primary objective was to evaluate the capacity of first-referral health facilities in Tanzania to perform basic surgical procedures. The intent was to assist in planning strategies for universal access to life-saving and disability-preventing surgical services.""","trauma, congenital malformations","trauma, clubfoot repair; contractures; fractures; dislocations","""Based on the results in this WHO country survey, significant gaps exist in the capacity for emergency and essential surgical services in Tanzania including deficits in human resources, essential equipment and infrastructure. The information in this survey will provide a foundation for evidence-based decisions in country-level policy regarding the allocation of resources and provision of emergency and essential surgical services.""",NA,NA
"The ""other"" neglected diseases in global public health: surgical conditions in sub-Saharan Africa","Ozgediz D.,Riviello R.",8-Jun,"""This article compares NTDs and surgical conditions in sub-
Saharan Africa, considering their estimated burden and the
cost-effectiveness of treatment, the scope of these conditions and associated global health disparities, and the effect of donor priorities on provision of surgical services. Lessons from NTD initiatives are analyzed among possible solutions to improving access to surgical services in sub-Saharan Africa.""",NA,NA,"""Injuries represent the largest portion of surgical disease
burden in Africa, followed by obstetric complications,
malignancies, congenital anomalies, and perinatal conditions.""
""The development of human resources for surgical services
and perioperative care has been neglected, and innovative
strategies addressing clinician migration and capacity building are needed.""

""Surgical delivery efforts can learn lessons from NTD initiatives,including increasing access through donation programs,nonprofit ventures, and advocacy, and developing incentives to produce and make available essential equipment and supplies in poor countries.",NA,NA
Trauma in rural Kenya,"Otieno T., Woodfield J.C., Bird P., et al.",4-Mar,"""The aims of this study were to document the epidemiology and clinical management of trauma in a rural Kenyan hospital and from this to highlight important areas for the medical training of doctors managing trauma in similar situations.""","trauma, burns","Road traffic crashes, falls, assaults, burns","""The management of trauma remains a significant problem for hospitals in rural Kenya. RTC followed by falls are the most common causes of unintentional injury."";

""Our prospective audit demonstrates that even in an environment with limited resources, good trauma outcomes can be achieved. With a median ISS of nine the mortality rate was 3.5%. There was no mortality in patients with an ISS of less than 18 and a mortality rate of 25% in those with an ISS of greater than 15.""",NA,NA
"Referral pattern of oral and maxillofacial surgery cases in Sudan: A retrospective age- And sex-specific analysis of 3,478 patients over four years","Osman M.A.K., Aljezoli M.H.I., Alsadig M.A.M., et al.",21-Mar,"""The present study aims to assess the prevalence of diseases diagnosed in a cohort of patients visiting an OMFS service in Sudan over four years, the pattern and distribution of OMFS diagnoses in relation to age and sex, and the type of treatments provided. The prevalence of specific disease groups can help to quantify the scope of OMFS surgery in Sudan, thus increasing awareness of the training needed to competently perform surgery""","Trauma, Infection, congenital malformation, neoplasms","Ameloblastoma, Squamous Cell Carcinoma, Dentigerous Cyst, Cleft Lip/Palate, Ankylosis, etc.","Pathological diseases were most common (36.1%), followed by trauma (31.8%). ORIF was the most common procedure. Males and the third decade of life were most represented.",late presentation,"""Most patients with malignancy showed up late."""
Skin cancers in albinos in a teaching Hospital in eastern Nigeria - presentation and challenges of care,"Opara K.O., Jiburum B.C.",10-Aug,"""This study sought to determine the pattern of skin cancers seen in albinos managed at a teaching hospital in eastern Nigeria and to highlight the challenges encountered in their management.""",Cancer,"Skin cancers (Squamous cell carcinoma, basal cell carcinoma, and baso-squamous carcinoma)","""A total of twenty (20) albinos with thirty eight (38)
lesions were managed in the period under review, giving
an average of 1.9 lesions per patient. These accounted
for 67% of all primary skin cancers managed in our cen-
ter in the period under review.""

""Fourteen (70%) of the patients did not complete
their treatment or were lost to follow up shortly after
commencement of treatment. Seven (50%) of these were
patients requiring adjuvant radiotherapy. Most had com-
plained of lack of funds at the time of referral for
radiotherapy""

"" These patients therefore lack the financial
capability to handle their health needs. It is therefore
needful for health insurance schemes to provide cover
for the informal sector to which most of these patients
belong.""

""Late presentation was a prominent feature in this
study. The average duration of symptoms at presentation was 26 months. Poverty and ignorance were the main reasons for this. Some however presented early to a healthcare facility, but were offered inadequate or ineffective forms of treatment, only to be referred late.""",NA,“Late presentation was a prominent feature in this study. The average duration of symptoms at presentation was 26 months.”
Pattern of severe electrical injuries in a Nigerian regional burn centre,"Opara K.O., Chukwuanukwu T.O.G, Ogbonnaya I.S., et al.",6-Dec,"""This hospital based study aims at highlighting the pattern of severe electrical injuries seen in our environment, identifying the peculiar problems encountered in their management, comparing with other parts of the world and proffering solutions for improvement. It will also serve as part of the baseline for further studies on electrical injuries in Nigeria""",burns,electrical burns,"""Late presentation of patients to specialised centres, inadequate management at the primary centres of treatment, poverty and inadequate facilities even at the specialised centres were the main problems encountered.""",NA,NA
Pattern of surgical emergencies in a Nigerian tertiary hospital,"Onyemaechi N.O.C., Urube S.U., Ekenze S.O.",19-Mar,"""The aim of this study was to describe the spectrum and pattern of presentation of surgical emergencies in our environment""","Burns, trauma, injuries","burns, RTA, malignancy, gangrene, fistula","""Majority of surgical admissions in our centre were emergency admissions with a predominance of trauma-related surgical emergencies. Road traffic injuries contributed 
significantly to the total volume of surgical emergencies seen in our hospital. Multiple injuries, traumatic brain injury and malignancies were associated with high mortality rates. The 1-yearmortality rate of emergency surgical admissions in our study was 7.8%. The preventable death rate (PDR) of the trauma-related emergencies is high. Provision of improved neurosurgical services and intensive care facilities will improve the outcome of trauma-related surgical emergencies in our environment. Early detection of cancers and improved oncology services may reduce the mortality arising from non-trauma surgical 
emergencies""",NA,NA
Cleft lip and palate repair: the experience from two West African sub-regional centres,"Onah I.I., Opara K.O., Olaitan P.B., et al.",7-Jun,"""This retrospective study aims at recording the pattern of presentation of cleft lip and palate as seen in the two hospitals, the timing and completion of surgical procedures as well as making recommendations to ensure improved care.""",congenital malformations,cleft lip and cleft palate,"""Of the 93 patients in Enugu, 47 were male (Table 1). Cleft lip and palate was the most common presentation (46%), whereas isolated cleft palate was the least (15%). At Osogbo, five of nine patients were male. Isolated cleft lip was the most common (56%) and isolated cleft palate the least (11%).""",NA,NA
Cleft Surgery Service at National Orthopaedic Hospital Enugu: impact of free treatment programme,"Onah I.I., Ezinwa C.",12-Jul,"""This study was undertaken to assess the impact on the training of residents at the National Orthopaedic Hospital Enugu, a major accredited training centre in Nigeria for plastic surgical residents, in the period 24 months before and after the commencement of free treatment.""",congenital malformations,cleft lip; cleft palate,"""Free treatment positively impacts patient turnout and training, and are encouraged to improve the quality of healthcare in the country.""",NA,NA
Hand Mycetoma: The Mycetoma Research Centre Experience and Literature Review,"Omer R. F.,  EL Din N.S., Rahim F.A.A., et al.",16-Aug,"""The hand is commonly affected by mycetoma thus compromises its functionality and hinder the patient’s daily activities of living. In this communication, we report on 533 patients with hand mycetoma managed over a period of 24 years at the Mycetoma Research Centre, University of Khartoum, Khartoum, Sudan.""",infectious diseases,Hand mycetoma (eumycetoma and actinomycetoma),"""In the present series it was difficult to determine the treatment outcome due to high patients follow up dropout."";

""In conclusion, the hand is a precious human organ with complex functions and losing it through destruction, distortion, deformities, or amputation is unacceptable particularly due to benign inflammatory disease like mycetoma. Knowledge gaps in mycetoma epidemiology and pathogenesis will need to be addressed careful by further research, likewise novel diagnostic tools and treatment need be researched.""",NA,NA
Updates on the epidemiology and pattern of traumatic maxillofacial injuries in a Nigerian University Teaching Hospital: A 12-month prospective cohort in-hospital outcome study,"Olusanya A.A., Adeleye A.O., Aladelusi T.O., et al.",14-Aug,"""This study sets out to examine the recent trends in both the clinical and epidemiological patterns of all facial injuries from all causes seen in a low-resource practice of a developing country. It also assessed the in-hospital treatment outcomes, and the levels of the patients’ satisfaction with treatment received in this setting.""",trauma,"Mandibular fractures, midfacial fractures, soft tissue injuries","Motorcycle crashes were the leading cause (42.1%); mandibular fractures most common (37.8%); 88% treated with closed reduction; 75%+ satisfied with esthetic outcome

""Among the 92 of 259 patients (37.1%) who had active treatment of their maxillofacial skeletal injuries in this study, closed reduction and immobilization was deployed in 81 (88.0% of this treatment group); and, open surgical reduction and internal fixation (ORIF) in only 11 (12.0%) patients.""","delay in treatment, malunion",“...delay in treatment has resulted in malunion or malpositioning of tissues...”
Survey of management of children with cleft lip and palate in teaching and specialist hospitals in Nigeria,"Olasoji H.O., Hassan A., Adeyemo W.L.",11-Mar,To obtain a national overview of the current management of children with cleft lip and/or palate in Nigeria.,congenital malformations,"cleft lip, cleft palate","Majority of surgeons are low-volume operators; most use Millard rotation-advancement for unilateral cleft lip; straight-line repair common for bilateral cleft; von Langenbeck most used for palate; few use team-based care; limited access to secondary procedures and specialists

""The need for reorganization of cleft services in Nigeria is not in question; success is rooted in the geographic accessibility of services to patients, staff development, and the optimal use of limited resources and practitioners. Government support, partnership, and  llaboration with established cleft centers in the Western world are key factors.""",Comorbidities,"""Undernourishment and difficulty in gaining weight in children with CL/P were the most common reasons for delayed surgical correction of cleft lip or palate""

""Health problems such
as undernourishment, anemia, and failure to thrive, which can be directly attributed to feeding difficulties in the patients, are the most common challenges encountered
during preoperative evaluations and were responsible for most surgical delays."""
"Management of human bites of the face in Enugu, Nigeria","Olaitan P.B., Uduezue A.O., Ugwueze G.C., et al.",7-Mar,"""The aim of this paper is to review human bites of the face, which presented to the Plastic Surgery Department of the National Orthopaedic Hospital, Enugu, Nigeria over a 10-year period and highlight the epidemiology, presentation, management and its outcome.""",trauma,wounds (human bite injuries to the face),"54 patients treated over 10 years; 35.2% presented within 24 hours.; Most common injury sites: upper lip (44.4%), nose (20.4%), ear (16.7%).; 37% underwent V-excision and closure; few complications observed.; Early presentation allowed for primary closure with good outcomes

""We conclude that human bites still remain common in our environment. These sometimes need reconstruction due to loss
of parts. Minimal debridement with primary closure/reconstruction of human bites of the face; when presented early, gives a good
result.""",NA,NA
"Adolescent and adult cleft lip and palate, in Ile-Ife, Nigeria","Oladele A.O., Olabanji J.K., Awe O.O.",11-Dec,"""This article aims at reviewing adolescent and adult CLP patients in our center, with the advent of free and available care, and to document the patterns and management outcomes of these patients as an addition to existing literature on the subject of adult CLP.""",congenital malformations,cleft lip and palate,""" A relatively high ratio of adolescent and adult clefts is observed. Most of them have never had surgical intervention. Some had failed surgical intervention prior to presentation. Satisfactory outcomes were achieved despite late intervention but failed initial intervention was associated with poorer outcomes.""",NA,NA
Childhood burns in south eastern Nigeria,"Okoro P.E., Igwe P.O., Ukachukwu A.K.",9-Jun,"""We, therefore, looked at this health problem prospectively in children in south eastern Nigeria, with the hope that our findings will be a guide to offer preventive and therapeutic measures in these patients.""",burns,NA,"""Children below 2 years of age, particularly the males, were at the highest risk of injury from burns.""

""Hot water scalds occurring in the home environment in the presence of adults is common in our environment. Prehospital interventions in our environment are mostly deleterious.""

""Burns is still a major health problem among children in south eastern Nigeria. Fortunately, outcome of appropriate treatment is good. However, we think that poor safety consciousness among parents is a major predisposing factor. Public enlightenment on measures to ensure safe 
home environment may be necessary to avoid or limit childhood burns.""",NA,NA
The Tale of the Unrepaired Cleft-Retrospective Evaluation of Cases Encountered by an Indigenous Mission in a Northern Nigerian Community,"Oketade I., Bello S.A., Adeoye J.",10/2020,"""...this article aims to describe the presentation of unrepaired cleft and provide a retrospective account of the surgical intervention activities of our indigenous surgical foundation—Cleft and Facial Deformity Foundation (CFDF) in Minna, North-Central Nigeria which we visited on 2 occasions.""",congenital malformations,cleft lip; cleft palate; cleft lip and cleft palate,"“A total of 117 participants with cleft anomaly were encountered at both surgical outreach programs. The sample prevalence of unrepaired cleft was 61.5%.”

“Most participants presented with unilateral complete cleft lip (70.8%) which was more common on the left side…”

""the reasons for their late presentation showed that
most individuals didn’t repair their cleft defects prior to
encounter as they could not afford the expense of surgical correction in secondary or tertiary centers (50.0%, n ¼ 36)""

“Lack of wherewithal to offset the expense of cleft surgery and supportive treatment represented the most common reason for the delay of surgical repair (50%).”

",health literacy,"""...15.3% (n = 11) expressed that they were unaware that their defects could be surgically repaired"""
"Vascular injuries: Aetiology, presentation and management outcomes at a tertiary hospital in Lagos, Nigeria","Ogunleye E.O., Olusoji O.O., Kanu O.O., et al.",22-Oct,"""The purpose of this study was to retrospectively analyse the aetiology, clinical presentation, treatment modalities and outcomes of treatment of vascular injuries in our hospital.""",trauma,"Arterial and venous injuries (e.g., femoral artery, IVC, pseudoaneurysm, AV fistula)","Gunshot injuries were the most common cause (31.1%), followed by road traffic accidents and iatrogenic injuries (27% each). Femoral artery was the most commonly injured vessel. Amputation rate was 18.9%. Mortality rate was 8.1%.

""The patterns of vascular injuries were transection in 48.6% (n = 36), laceration 37.8% (n = 28), A-V fistula 8.1% (n = 6) and pseudoaneurysm 5.4% (n = 4) fistula. Associated injuries include skeletal fracture in 27.02% (n = 20) and nerve injury occurred in 8.1% (n = 6).""

""Interposition graft was used in 10 cases(13.5%) with reversed saphenous vein graft used in six cases and PTFE graft used in the remaining four cases.""",NA,NA
"Facial Bone Fractures in Ile-Ife, Nigeria: An Update on Pattern of Presentation and Care","Oginni F.O., Oladejo T., Alake D.P., et al.",15-Aug,"""This study sets out to assess the trends in maxillofacial bone fractures presenting at Obafemi Awolowo University Teaching Hospital (OAUTH), Ile-Ife over the period between January 2005 and December 2013.""",trauma,fractures,"""Although the overall pattern of maxillofacial fractures has remained the same in the last few years, the strong emergence of motorcycle as a major means of commuting appears to have tilted the pattern back towards young and exuberant males. Serious and concerted effort at enforcement of road traffic regulations as well as infrastructural development has a potential to reduce road traffic crashes. Restrictions on commercial motorcycling and accommodation of riders in other transport services will also be beneficial in limiting facial fractures. Although osteosynthesis is not very popular yet in our practice, the outcome of its use suggests that its use has the prospect of reducing morbidity associated with management of maxillofacial fractures using the conventional techniques""",NA,NA
"Burn injuries in pregnancy in a regional burns center in Nigeria: Presentation, maternal and fetal outcome","Ogbogu C.J., Uduezue A., Anetekhai W.I., et al",17-Nov,"""The aim of the present study was to report on presentation, maternal and fetal outcome in pregnant burn patients in a regional burns center in Nigeria.""",burns,"Flame burns, Scald injuries","""Burns in pregnant women have a profound effect on the fetal wellbeing while the outcome of the burn injuries can be affected by the presence of a fetus. Burn injury prevention is essential in reducing the morbidity and mortality associated with these injuries""",NA,NA
"Clinical patterns and early outcomes of burn injuries in patients admitted at the Moi Teaching and Referral Hospital in Eldoret, Western Kenya","Odondi R.N., Shitsinzi R., Emarah  A.",20-Mar,"""This study aimed to undertake a comprehensive and updated evaluation of burn clinical patterns, early outcomes and their associations among patients admitted with burn injuries at Moi Teaching and Referral Hospital (MTRH).""",burns,Scald burns; Flame burn; Electrical burns; Frost burns,"""In our study, death was likely to occur in one in ten patients admitted with burns and TBSA was a predictor of presence of burn complications and length of hospital stay. There is a need for continued health education of the public on fire safety within the home environment for children and other vulnerable persons. Timely hospital intervention would also reduce burn complications as well as length of hospital stay.""",NA,NA
Hospitalized for poverty: orthopaedic discharge delays due to financial hardship in a tertiary hospital in Northern Tanzania,"Obayemi J.E., Card E.B., Shirima O., et al.",2022,"""Using the KCMC Orthopaedic Department as a case-study, this study aims to: (1) determine the prevalence of D-Still patients during a specified period, (2) quantify the additional financial burden placed on D-Still patients, (3) calculate the bed-days spent on D-Still patients who no longer required medical care, and (4) understand the complexities of social welfare assistance in this setting.""",Musculoskeletal trauma,Orthopedic injuries (primarily lower extremity fractures),"""At KCMC, this study has shown that many hospital beds and hundreds of hospital bed-days are in fact taken by patients who simply cannot afford to leave. Approximately 40% of patients receiving orthopaedic care spent additional time in the ward due to their inability to pay promptly for services.""; 
""This reality has added significantly to these patients’ overall financial hardship and has taken hundreds of bed-days from other critically ill patients.""",NA,NA
"Epidemiology and cost of pediatric injury in Yaoundé, Cameroon: a prospective study","Nwanna‑Nzewunwa O., Ngamby M.K., Feldhaus I., et al.",19-Apr,"""This paper aims to identify the: (1) demographic and clinical patterns of injury among the pediatric population in Cameroon; (2) determinants and predictors of pediatric 
injury and surgery in Cameroon; and (3) costs of pediatric trauma care. These findings will inform injury prevention efforts and targeted resource allocation as well as improve 
understanding of health care costs and utilization associated with child injury [9–15]. Further, it will inform political prioritization and policy formulation with respect to pediatric injury in Cameroon""","trauma, burns","road traffic injuries, penetrating injuries, blunt trauma","""The findings of this study demonstrate that pediatric patients 
comprise a considerable proportion of injured patients that 
seek care at CHY."";

""The findings of this study indicate the need for improved 
prehospital care and accessible transportation to the hospital."";

""The burden and cost of injury as shown in this study draws attention to the need for universal health coverage (UHC) and highlights the important role of strengthening surgical care systems to achieve UHC as emphasized by the World Health Assembly Resolution 68.15."";

""This study highlights some benefits of improved data infrastructure and management, often in the form of registry systems, for policy formulation and the development of targeted interventions to improve public health. The burden and cost of injury as shown in this study 
draws attention to the need for universal health coverage (UHC) and highlights the important role of strengthening surgical care systems to achieve UHC as emphasized by the World Health Assembly Resolution 68.15""",NA,NA
The tropical diabetic hand syndrome: a surgical perspective,"Nthumba P., Cavadas P.C., Landin L.",11-Jul,"""This report presents the surgical perspectives of TDHS, including the surgical technique, length of in-hospital stay, cost of care, and immediate and 6-month upper extremity post discharge functional outcomes of 10 diabetic patients as managed in a rural institution in Kenya.""",Infectious complications of diabetes,tropical diabetic hand syndrome,"""The TDHS is an aggressive type of hand sepsis, which results in significant morbidity and mortality among patients with diabetes. In some patients, it appears to be more aggressive than in others."";

""...prior limb amputation appears to place the patient at a higher risk of subsequent development of limb sepsis, either TDHS or diabetic foot, resulting in possible amputation.""",health literacy,"""Lack of education on hand care as well as a lack of understanding of potential risks of hand infections was evident from all but the 1 patient who had had a prior hand amputation from TDHS."""
Trauma care and referral patterns in Rwanda: implications for trauma system development,"Ntakiyiruta G., Wong E.G., Rousseau M.C., et al.",16-Feb,"“The objective of our study was to describe operative procedures performed for trauma at a tertiary care facility in Kigali, Rwanda, and to evaluate geographical variations and referral patterns of trauma care in Rwanda.”","trauma, burns","Fractures, dislocations, head injuries, abdominal trauma, burns","“Over the 6-month study period, 2758 surgical interventions were performed at CHUK, spanning all surgical subspecialties and including both urgent and elective procedures. Of these, 653 (23.7%) were performed for 
trauma.”

""Most of the 581 procedures were performed with the patients under general anesthesia (348 [59.9%]), but some patients received regional (214 [36.8%]) or local (12 [2.1%]) anesthesia. Most operations were performed in an urgent fashion (307 [52.8%]). ""

""Overall, the vast majority of trauma procedures were orthopedic (489 [84.2%]), followed by neurosurgery (53 [9.1%]), general surgery (38 [6.5%]) and urology (1 [0.2%]). """,NA,NA
Fournier’s gangrene: a retrospective review of management outcomes and seasonal variations of clinical presentation,"Nnabugwu I.I., Onumaegbu O.O., Okolie L.T.",21-Apr,"""The aim of this study is to retrospectively identify the management outcomes and the seasonal variation in clinical presentation for Fournier’s gangrene cases in a tropical African setting.""",skin conditions; skin infections,Fournier’s gangrene,"""This review shows that, regarding the median FGSI and the median UFGSI, there may be less severe metabolic derangements on the average, among patients presenting with FG in our setting. Despite resource limitations, outcome is generally satisfactory."";
""Meager resources notwithstanding, FG management outcomes are generally satisfactory. Furthermore, FG is observed to present mostly in the hot, dry months of the year in the 8 years under review.""",NA,NA
